location,size,total_sqft,bath,price,bhk,price_per_sqft
Kambipura,2 BHK,883.0,2.0,90.0,2,10192.525481313703
Pai Layout,3 BHK,1400.0,2.0,134.0,3,9571.42857142857
Rajaji Nagar,3 BHK,1800.0,3.0,520.0,3,28888.88888888889
Hegde Nagar,3 BHK,1703.0,3.0,226.0,3,13270.698766881973
NRI Layout,5 BHK,2500.0,5.0,260.0,5,10400.0
Varthur,3 BHK,1250.0,3.0,142.0,3,11360.0
Jigani,2 BHK,933.0,2.0,86.0,2,9217.577706323687
sankeswari,1 Bedroom,461.82,1.0,63.4,1,13728.292408297606
Brookefield,2 BHK,1262.0,2.0,150.0,2,11885.895404120443
Yelahanka,2 BHK,915.0,2.0,96.0,2,10491.803278688525
Panathur,3 BHK,1370.0,2.0,123.0,3,8978.102189781022
Malleshpalya,2 BHK,1210.0,2.0,110.0,2,9090.90909090909
Kodihalli,3 BHK,2392.0,4.0,520.0,3,21739.130434782608
T c palya,3 Bedroom,1500.0,2.0,170.0,3,11333.333333333334
Govindraja Nagar,2 BHK,1065.0,2.0,100.0,2,9389.671361502347
Rajaji Nagar,4 BHK,3100.0,4.0,1140.0,4,36774.1935483871
Ramamurthy Nagar,3 BHK,1515.0,3.0,130.0,3,8580.85808580858
Sarjapura - Attibele Road,4 Bedroom,1800.0,4.0,220.0,4,12222.222222222223
Thanisandra,3 BHK,1445.0,2.0,80.62,3,5579.23875432526
Uttarahalli,3 BHK,1300.0,2.0,110.0,3,8461.538461538461
Vijayanagar,2 BHK,989.0,2.0,120.0,2,12133.468149646107
Jakkur,2 BHK,1300.0,2.0,170.0,2,13076.923076923076
Chandapura,3 BHK,1185.0,2.0,60.44,3,5100.4219409282705
Battarahalli,5 Bedroom,1350.0,3.0,220.0,5,16296.296296296296
Marathahalli,2 BHK,1045.0,2.0,120.0,2,11483.253588516747
Virat Nagar,2 BHK,1205.0,2.0,84.36,2,7000.829875518672
Chennammanakere Achukattu,2 BHK,1260.0,2.0,150.0,2,11904.761904761905
Devanahalli Road,5 Bedroom,1320.0,5.0,398.0,5,30151.515151515152
Ulsoor,3 BHK,1500.0,2.0,250.0,3,16666.666666666668
Bommanahalli,3 BHK,1250.0,2.0,85.0,3,6800.0
"Maragondana Halli, kr puram, old madras road",2 BHK,1199.0,2.0,100.0,2,8340.283569641368
Hennur Road,2 BHK,1385.0,2.0,166.18,2,11998.5559566787
Dhanalakshmi Layout,6 Bedroom,1222.0,5.0,500.0,6,40916.53027823241
Lakshminarayana Pura,2 BHK,1149.0,2.0,150.0,2,13054.830287206267
Sarjapur  Road,3 BHK,2180.0,3.0,340.0,3,15596.330275229358
TC Palaya,8 Bedroom,1200.0,7.0,220.0,8,18333.333333333332
Jp nagar 8th Phase .,10 BHK,12000.0,12.0,1050.0,10,8750.0
Thurahalli,5 Bedroom,1200.0,5.0,390.0,5,32500.0
Hulimavu,3 BHK,1818.0,3.0,270.0,3,14851.485148514852
Volagerekallahalli,2 BHK,1070.0,2.0,66.0,2,6168.22429906542
Rajaji Nagar,3 BHK,1640.0,3.0,482.0,3,29390.243902439026
Nagarbhavi,3 BHK,1350.0,2.0,109.2,3,8088.888888888889
Chandapura,2 BHK,630.0,1.0,54.0,2,8571.42857142857
Hoodi,2 BHK,1430.0,2.0,226.0,2,15804.195804195804
Nagavara,3 BHK,2430.0,4.0,360.0,3,14814.814814814816
Nobo Nagar,6 Bedroom,1500.0,7.0,440.0,6,29333.333333333332
Sarjapur  Road,2 BHK,1084.0,2.0,110.0,2,10147.601476014761
Hennur Road,3 BHK,1186.0,2.0,112.0,3,9443.507588532884
Kengeri,2 BHK,1255.0,2.0,100.0,2,7968.12749003984
Haralur Road,4 BHK,3400.0,5.0,480.0,4,14117.64705882353
Hosa Road,3 BHK,1541.0,3.0,139.68,3,9064.243997404283
Iblur Village,4 BHK,3596.0,5.0,564.0,4,15684.09343715239
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,140.0,2,10810.81081081081
Kasavanhalli,3 Bedroom,1000.0,4.0,220.0,3,22000.0
Sanjeevini Nagar,3 BHK,2820.0,3.0,570.0,3,20212.76595744681
7th Phase JP Nagar,3 BHK,1370.0,2.0,109.58,3,7998.540145985401
Electronic City,2 BHK,1100.0,2.0,80.0,2,7272.727272727273
Hebbal,4 BHK,4772.0,6.0,1020.0,4,21374.68566638726
Rajaji Nagar,2 BHK,1370.0,2.0,340.0,2,24817.518248175184
7th Phase JP Nagar,3 BHK,1370.0,2.0,109.58,3,7998.540145985401
JP Nagar,2 BHK,1200.0,2.0,124.0,2,10333.333333333334
Gunjur,4 Bedroom,2000.0,3.0,190.0,4,9500.0
9th Phase JP Nagar,4 BHK,3500.0,4.0,600.0,4,17142.85714285714
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,480.0,5,40000.0
Kengeri,4 Bedroom,2400.0,5.0,506.0,4,21083.333333333332
Sarjapur  Road,3 BHK,1220.0,3.0,124.0,3,10163.934426229509
Kanakapura Road,3 Bedroom,1950.0,3.0,260.0,3,13333.333333333334
Somasundara Palya,2 BHK,1178.0,2.0,146.0,2,12393.887945670629
Dasanapura,3 BHK,1286.0,3.0,122.88,3,9555.209953343701
Begur Road,2 BHK,1160.0,2.0,84.0,2,7241.379310344828
Jigani,2 BHK,918.0,2.0,110.0,2,11982.570806100219
Electronic City,3 BHK,1563.0,3.0,183.68,3,11751.759436980166
Govindpura,2 BHK,1326.0,2.0,124.34,2,9377.073906485672
3rd Block Jayanagar,3 BHK,1350.0,2.0,280.0,3,20740.74074074074
Hebbal,4 BHK,3960.0,5.0,772.0,4,19494.949494949495
Begur Road,2 BHK,1240.0,2.0,78.12,2,6300.0
Kaggadasapura,2 BHK,1325.0,2.0,100.0,2,7547.169811320755
Sonnenahalli,2 BHK,1100.0,2.0,88.0,2,8000.0
Cunningham Road,3 BHK,3875.0,3.0,1600.0,3,41290.32258064516
Gollarapalya Hosahalli,3 BHK,1605.0,3.0,100.0,3,6230.529595015576
Hennur Road,5 BHK,5600.0,5.0,1030.0,5,18392.85714285714
Somasundara Palya,2 BHK,1260.0,2.0,120.0,2,9523.809523809523
Hoodi,3 BHK,1553.0,3.0,166.18,3,10700.579523502898
Whitefield,2 BHK,1280.0,2.0,104.0,2,8125.0
Hebbal,3 BHK,1550.0,2.0,150.0,3,9677.41935483871
Arekere,3 BHK,1445.0,2.0,250.0,3,17301.038062283737
Murugeshpalya,3 BHK,1550.0,3.0,148.0,3,9548.387096774193
Electronics City Phase 1,3 BHK,1515.0,2.0,161.82,3,10681.18811881188
Hosa Road,3 BHK,1332.0,2.0,172.24,3,12930.93093093093
Electronic City,3 BHK,1652.0,3.0,140.0,3,8474.57627118644
Hegde Nagar,3 BHK,1570.0,3.0,210.0,3,13375.79617834395
Sarjapur  Road,4 Bedroom,5400.0,4.0,1450.0,4,26851.85185185185
Sector 2 HSR Layout,1 BHK,794.0,1.0,120.0,1,15113.350125944584
Seegehalli,3 Bedroom,1200.0,2.0,124.0,3,10333.333333333334
7th Phase JP Nagar,4 Bedroom,3600.0,3.0,820.0,4,22777.777777777777
Hosakerehalli,3 Bedroom,1200.0,3.0,350.0,3,29166.666666666668
JP Nagar,4 BHK,1650.0,3.0,440.0,4,26666.666666666668
Chandra Layout,4 Bedroom,600.0,2.0,170.0,4,28333.333333333332
HRBR Layout,3 BHK,2800.0,3.0,500.0,3,17857.14285714286
Sarjapur  Road,3 BHK,1750.0,3.0,220.0,3,12571.42857142857
Hebbal,2 BHK,1053.0,2.0,96.0,2,9116.809116809116
Kanakpura Road,3 BHK,1100.0,3.0,106.0,3,9636.363636363636
Kadubeesanahalli,3 BHK,1665.0,3.0,140.0,3,8408.408408408408
Outer Ring Road East,4 Bedroom,4051.0,4.0,690.0,4,17032.831399654406
Malleshwaram,4 Bedroom,5500.0,5.0,3000.0,4,54545.454545454544
Bommasandra,3 BHK,1447.0,3.0,160.0,3,11057.360055286801
Balagere,2 BHK,1012.0,2.0,150.0,2,14822.134387351778
Malleshpalya,3 BHK,1900.0,3.0,120.0,3,6315.789473684211
Narayanapura,2 BHK,1308.0,2.0,185.32,2,14168.195718654435
Green Glen Layout,4 BHK,3250.0,4.0,460.0,4,14153.846153846154
Hormavu,1 BHK,1351.0,2.0,106.0,1,7846.039970392302
Electronic City,2 BHK,1000.0,2.0,44.0,2,4400.0
J P Nagar 7th Phase Ramayya City,4 Bedroom,1200.0,4.0,700.0,4,58333.333333333336
Gunjur,2 BHK,1140.0,2.0,98.22,2,8615.78947368421
Jakkur,4 BHK,3181.0,4.0,521.0,4,16378.497327884314
Uttarahalli,3 BHK,1250.0,2.0,110.0,3,8800.0
Kanakapura,3 BHK,1290.0,3.0,90.3,3,7000.0
Ambedkar Nagar,2 BHK,1424.0,2.0,180.0,2,12640.449438202248
Garudachar Palya,3 BHK,1320.0,2.0,121.2,3,9181.818181818182
Akshaya Nagar,3 BHK,1662.0,3.0,171.0,3,10288.808664259928
Shanthala Nagar,5 BHK,8321.0,5.0,5400.0,5,64896.04614829948
Begur Road,2 BHK,1200.0,2.0,90.0,2,7500.0
Koramangala,3 BHK,1975.0,3.0,420.0,3,21265.822784810127
Garudachar Palya,3 BHK,1295.0,2.0,119.0,3,9189.18918918919
Battarahalli,3 BHK,1777.0,3.0,200.0,3,11254.924029262802
Kadugodi,3 BHK,1900.0,3.0,216.0,3,11368.421052631578
Anandapura,3 BHK,1576.0,3.0,118.2,3,7500.0
Sompura,2 BHK,1020.0,2.0,82.0,2,8039.21568627451
Green Domain Layout,3 BHK,2100.0,3.0,340.0,3,16190.47619047619
Raja Rajeshwari Nagar,1 BHK,648.0,1.0,63.5,1,9799.382716049382
Neeladri Nagar,3 BHK,1167.0,2.0,76.0,3,6512.42502142245
Vyalikaval,7 Bedroom,1000.0,7.0,320.0,7,32000.0
Hoodi,2 BHK,1220.0,2.0,101.78,2,8342.622950819672
Kogilu,3 BHK,2350.0,5.0,654.0,3,27829.787234042553
Vittasandra,2 BHK,1259.0,2.0,134.8,2,10706.910246227166
Gottigere,4 Bedroom,2000.0,4.0,164.0,4,8200.0
8th Phase JP Nagar,3 BHK,1800.0,3.0,160.0,3,8888.888888888889
Cleveland Town,3 BHK,1991.0,3.0,320.0,3,16072.325464590658
Bannerghatta,3 BHK,1665.0,3.0,220.0,3,13213.213213213214
"Hoodi Circle, ",2 BHK,1234.0,2.0,122.0,2,9886.547811993518
Mysore Road,3 BHK,1340.0,2.0,128.62,3,9598.507462686568
Banashankari,2 BHK,1170.0,2.0,93.58,2,7998.290598290599
Electronics City Phase 1,2 BHK,995.0,2.0,92.0,2,9246.231155778894
Old Airport Road,2 BHK,1075.0,2.0,120.0,2,11162.790697674418
Electronic City,2 BHK,1025.0,2.0,109.0,2,10634.146341463415
Rachenahalli,3 BHK,2721.0,3.0,226.0,3,8305.76993752297
Thanisandra,3 BHK,2000.0,3.0,198.0,3,9900.0
Whitefield,4 BHK,2500.0,4.0,310.0,4,12400.0
Mallasandra,2 BHK,1325.0,2.0,140.0,2,10566.037735849057
Kadugodi,2 BHK,1314.0,2.0,136.4,2,10380.517503805175
Kanakpura Road,3 BHK,2265.0,3.0,272.0,3,12008.830022075055
7th Phase JP Nagar,7 Bedroom,4800.0,7.0,340.0,7,7083.333333333333
Yelahanka,2 BHK,1026.0,2.0,82.0,2,7992.202729044834
Syndicate Bank Colony,3 BHK,1200.0,3.0,132.0,3,11000.0
Kada Agrahara,3 BHK,2220.0,4.0,130.0,3,5855.855855855856
KR Puram,2 BHK,1192.5,2.0,102.44,2,8590.35639412998
Hebbal,2 BHK,1420.0,2.0,198.78,2,13998.591549295774
Sarjapur  Road,3 BHK,1888.0,4.0,190.0,3,10063.559322033898
JP Nagar,2 BHK,1300.0,2.0,181.74,2,13980.0
Rajaji Nagar,2 BHK,1216.0,2.0,194.32,2,15980.263157894737
"Off Sarjapur road, ",4 Bedroom,3000.0,4.0,684.0,4,22800.0
Begur,3 BHK,1559.0,3.0,126.0,3,8082.103912764593
Harlur,2 BHK,1290.0,2.0,174.0,2,13488.372093023256
M C Layout,6 Bedroom,2400.0,6.0,490.0,6,20416.666666666668
Whitefield,1 BHK,905.0,1.0,110.0,1,12154.696132596686
Nanjappa Layout,2 BHK,1069.0,2.0,110.0,2,10289.990645463049
Sarjapura - Attibele Road,2 BHK,829.0,2.0,45.6,2,5500.603136308806
Koramangala,2 BHK,1900.0,2.0,400.0,2,21052.63157894737
Sarjapur  Road,3 BHK,1300.0,3.0,120.0,3,9230.76923076923
Channasandra,2 BHK,1115.0,2.0,66.9,2,6000.000000000001
Rajaji Nagar,3 BHK,2409.0,3.0,720.0,3,29887.920298879202
Ambedkar Nagar,3 BHK,2150.0,4.0,250.0,3,11627.906976744185
Marathahalli,3 BHK,1305.0,2.0,138.0,3,10574.71264367816
Kanakpura Road,2 BHK,1252.0,2.0,112.64,2,8996.805111821086
Hosakerehalli,5 Bedroom,2400.0,5.0,500.0,5,20833.333333333332
Whitefield,2 Bedroom,1200.0,2.0,92.26,2,7688.333333333333
Koramangala,3 BHK,1750.0,3.0,260.0,3,14857.142857142857
Electronic City Phase II,2 BHK,545.0,1.0,70.0,2,12844.036697247706
BEL Layout,2 Bedroom,1375.0,2.0,210.0,2,15272.727272727272
Subramanyapura,2 BHK,1313.0,2.0,133.0,2,10129.47448591013
Attibele,4 Bedroom,3640.0,4.0,550.0,4,15109.89010989011
Akshayanagara East,3 BHK,1693.0,3.0,216.0,3,12758.417011222682
JCR Layout,2 BHK,1160.0,2.0,83.5,2,7198.275862068966
Sri Kanteshwara Nagar,3 Bedroom,1200.0,3.0,400.0,3,33333.333333333336
Subramanyapura,3 BHK,1255.0,2.0,158.0,3,12589.641434262949
KR Puram,4 Bedroom,1000.0,4.0,150.0,4,15000.0
Bellari Road,2 BHK,900.0,2.0,90.0,2,10000.0
Yelahanka New Town,3 BHK,1700.0,3.0,180.0,3,10588.235294117647
Indira Nagar,3 BHK,1875.0,3.0,360.0,3,19200.0
Uttarahalli,3 BHK,1700.0,3.0,176.0,3,10352.941176470587
Harlur,3 BHK,1749.0,3.0,230.0,3,13150.37164093768
Dasanapura,2 Bedroom,1500.0,3.0,130.0,2,8666.666666666666
Varanasi,2 BHK,1175.0,2.0,96.0,2,8170.212765957447
Akshaya Nagar,2 BHK,1280.0,2.0,120.0,2,9375.0
Abbaiah Reddy Layout,2 BHK,1200.0,2.0,100.0,2,8333.333333333334
Ramagondanahalli,3 BHK,1610.0,2.0,230.0,3,14285.714285714286
Electronic City,2 BHK,1070.0,2.0,92.0,2,8598.130841121496
TC Palaya,2 Bedroom,1200.0,2.0,132.0,2,11000.0
9th Phase JP Nagar,2 BHK,1127.0,2.0,100.0,2,8873.114463176575
Indira Nagar,2 BHK,1210.0,2.0,204.0,2,16859.504132231406
Jyothi Nagar,2 BHK,600.0,2.0,46.0,2,7666.666666666667
Thigalarapalya,4 BHK,4190.0,4.0,760.0,4,18138.424821002387
Tata Nagar,2 BHK,1364.0,2.0,140.0,2,10263.929618768329
Whitefield,4 BHK,2268.0,3.0,292.0,4,12874.779541446209
RK Layout 2nd Stage,3 BHK,1150.0,2.0,155.0,3,13478.260869565218
Tirumanahalli,2 BHK,1146.0,2.0,79.0,2,6893.542757417103
Magadi Road,2 BHK,1345.0,2.0,110.0,2,8178.438661710037
Mylasandra,2 BHK,1110.0,2.0,82.0,2,7387.387387387387
Kengeri,2 BHK,750.0,2.0,72.0,2,9600.0
Motappa Layout,2 BHK,1156.0,2.0,99.0,2,8564.01384083045
Pattandur Agrahara,2 BHK,1247.0,2.0,119.6,2,9591.01844426624
Mangammanapalya,2 BHK,1058.0,2.0,120.0,2,11342.155009451795
Kaggalipura,2 BHK,950.0,2.0,96.0,2,10105.263157894737
Vasanthapura,2 BHK,420.0,2.0,70.0,2,16666.666666666668
BTM 1st Stage,4 Bedroom,600.0,2.0,180.0,4,30000.0
Vijayanagar,3 BHK,1520.0,2.0,206.0,3,13552.631578947368
Marathahalli,2 BHK,1215.0,2.0,117.72,2,9688.888888888889
Raghuvanahalli,1 BHK,900.0,1.0,60.0,1,6666.666666666667
Hennur Road,3 BHK,2350.0,3.0,348.0,3,14808.510638297872
Thanisandra,2 BHK,1050.0,2.0,92.0,2,8761.904761904761
 Devarabeesana Halli,3 BHK,1672.0,3.0,300.0,3,17942.583732057417
Laggere,5 Bedroom,2800.0,5.0,250.0,5,8928.57142857143
MCECHS  layout,3 BHK,1500.0,2.0,130.0,3,8666.666666666666
Geddalahalli,2 BHK,1400.0,2.0,130.0,2,9285.714285714286
8th Phase JP Nagar,4 Bedroom,2700.0,4.0,260.0,4,9629.62962962963
Bommasandra,2 BHK,920.0,2.0,74.92,2,8143.478260869565
Sarjapur  Road,3 Bedroom,1200.0,3.0,140.0,3,11666.666666666666
Brindavan Nagar,3 BHK,1250.0,3.0,278.0,3,22240.0
Hosakerehalli,3 BHK,1817.0,4.0,306.0,3,16840.946615299945
Cooke Town,5 Bedroom,2043.0,6.0,750.0,5,36710.71953010279
HSR Layout,2 BHK,1140.0,2.0,92.0,2,8070.175438596491
Yelahanka,4 Bedroom,4346.0,4.0,900.0,4,20708.697653014267
Haralur Road,2 BHK,1464.0,2.0,112.0,2,7650.273224043716
Ambedkar Colony,2 BHK,1468.0,3.0,260.0,2,17711.17166212534
Electronics City Phase 1,3 BHK,1555.0,2.0,164.0,3,10546.623794212219
Munnekollal,6 Bedroom,1200.0,4.0,220.0,6,18333.333333333332
Whitefield,2 BHK,1150.0,2.0,110.0,2,9565.217391304348
Kadubeesanahalli,2 BHK,970.0,2.0,70.0,2,7216.494845360825
Banashankari,4 BHK,2500.0,4.0,190.0,4,7600.0
Seetharampalya,2 BHK,1166.0,2.0,106.0,2,9090.90909090909
Konanakunte,3 Bedroom,2779.0,3.0,634.0,3,22813.961856783015
Electronic City,3 BHK,1350.0,3.0,116.0,3,8592.592592592593
Mariyannapalya,2 BHK,900.0,2.0,92.0,2,10222.222222222223
7th Phase JP Nagar,3 BHK,1300.0,2.0,104.0,3,8000.0
Kanaka Nagar,3 BHK,1190.0,3.0,110.0,3,9243.697478991597
Kodichikkanahalli,3 BHK,1495.0,2.0,150.0,3,10033.444816053512
Indira Nagar,2 BHK,1224.0,2.0,210.0,2,17156.86274509804
Banashankari Stage III,3 BHK,1350.0,2.0,136.0,3,10074.074074074075
Green Glen Layout,2 BHK,940.0,2.0,113.6,2,12085.106382978724
Raja Rajeshwari Nagar,2 BHK,1100.0,2.0,110.0,2,10000.0
Kaikondrahalli,2 BHK,1300.0,2.0,122.0,2,9384.615384615385
Palace Road,3 BHK,1480.0,2.0,290.0,3,19594.594594594593
Hoodi,2 BHK,1105.0,2.0,92.74,2,8392.760180995476
Sarjapur  Road,3 Bedroom,2600.0,3.0,400.0,3,15384.615384615385
Yelahanka,3 BHK,1517.0,3.0,152.6,3,10059.32762030323
Horamavu Banaswadi,6 Bedroom,3800.0,8.0,400.0,6,10526.315789473685
Jalahalli,3 BHK,1615.0,3.0,179.5,3,11114.551083591332
MCECHS  layout,3 BHK,1500.0,3.0,130.0,3,8666.666666666666
Mysore Road,3 BHK,1082.0,3.0,101.0,3,9334.56561922366
Marathahalli,2 BHK,1365.0,2.0,146.0,2,10695.970695970696
Electronic City,2 BHK,1000.0,2.0,50.0,2,5000.0
CV Raman Nagar,2 BHK,1392.0,2.0,196.0,2,14080.459770114943
Kodigehalli,2 BHK,1086.0,2.0,67.32,2,6198.895027624309
Hennur Road,3 BHK,1586.0,3.0,187.88,3,11846.153846153846
Hennur,2 BHK,1100.0,2.0,120.0,2,10909.09090909091
Electronic City Phase II,2 BHK,1065.0,2.0,61.5,2,5774.647887323944
TC Palaya,3 Bedroom,1500.0,2.0,240.0,3,16000.0
7th Phase JP Nagar,3 BHK,1575.0,2.0,240.0,3,15238.095238095239
Hennur Road,3 BHK,1975.0,3.0,246.0,3,12455.696202531646
Nelamangala,2 BHK,820.0,2.0,48.0,2,5853.658536585366
Gubbalala,3 BHK,1745.0,3.0,220.0,3,12607.449856733525
Nagarbhavi,2 BHK,1223.0,2.0,120.0,2,9811.937857726902
Ananth Nagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
Basaveshwara Nagar,2 BHK,1200.0,2.0,180.0,2,15000.0
Binny Pete,1 BHK,665.0,1.0,92.16,1,13858.646616541353
Bharathi Nagar,2 BHK,1351.0,2.0,140.0,2,10362.694300518135
Hebbal,3 BHK,1355.0,3.0,167.74,3,12379.335793357934
Sector 7 HSR Layout,3 BHK,3900.0,3.0,600.0,3,15384.615384615385
Thanisandra,3 BHK,1588.0,3.0,151.1,3,9515.113350125945
Amruthahalli,2 BHK,900.0,2.0,120.0,2,13333.333333333334
Bhuvaneshwari Nagar,3 Bedroom,440.0,3.0,100.0,3,22727.272727272728
Harlur,4 Bedroom,3385.0,4.0,520.0,4,15361.890694239291
Panathur,3 BHK,1370.0,2.0,150.0,3,10948.905109489051
Whitefield,3 Bedroom,1500.0,3.0,143.6,3,9573.333333333334
Pulikeshi Nagar,3 BHK,2280.0,3.0,570.0,3,25000.0
Kanakpura Road,3 BHK,1100.0,3.0,106.0,3,9636.363636363636
Hoodi,2 BHK,1247.0,2.0,106.0,2,8500.400962309543
Domlur Layout,3 BHK,2000.0,3.0,400.0,3,20000.0
Balagere,2 BHK,1020.07,2.0,136.76,2,13406.923054300194
Gunjur Palya,3 BHK,1033.0,2.0,64.0,3,6195.546950629236
B Narayanapura,3 BHK,1460.0,2.0,146.0,3,10000.0
Garudachar Palya,2 BHK,1150.0,2.0,105.6,2,9182.608695652174
Sarjapur  Road,5 BHK,5965.0,5.0,770.0,5,12908.633696563285
Babusapalaya,2 BHK,1141.0,2.0,92.0,2,8063.102541630149
Yelahanka,4 BHK,2912.5,6.0,251.0,4,8618.02575107296
Doddaballapur,4 Bedroom,4200.0,4.0,650.0,4,15476.190476190477
Hosa Road,3 BHK,1665.0,2.0,250.0,3,15015.015015015015
Kanakapura,2 BHK,1295.0,2.0,128.0,2,9884.169884169884
Haralur Road,2 BHK,1230.0,2.0,156.0,2,12682.926829268292
Anand Nagar,3 BHK,1080.0,2.0,150.0,3,13888.888888888889
Kaggalipura,2 BHK,1000.0,2.0,120.0,2,12000.0
Kaval Byrasandra,3 BHK,2400.0,2.0,100.0,3,4166.666666666667
Whitefield,1 BHK,630.5,1.0,65.58,1,10401.268834258524
Rayasandra,3 BHK,1708.0,3.0,150.0,3,8782.201405152226
Thanisandra,3 BHK,1697.0,3.0,230.0,3,13553.329404832057
Whitefield,4 BHK,3537.0,5.0,420.0,4,11874.469889737065
Hosa Road,1 BHK,615.0,1.0,56.58,1,9200.0
Banashankari,3 BHK,1350.0,2.0,166.0,3,12296.296296296296
Jalahalli,2 BHK,1083.0,2.0,64.98,2,6000.0
Gottigere,3 BHK,1460.0,2.0,130.0,3,8904.109589041096
Babusapalaya,2 BHK,1084.0,2.0,116.0,2,10701.107011070111
Bommasandra,2 BHK,1035.0,2.0,82.86,2,8005.797101449275
Vijaya Bank Layout,3 BHK,2400.0,2.0,300.0,3,12500.0
Hosur Road,1 BHK,460.0,1.0,42.0,1,9130.434782608696
Narayanappa Layout,5 BHK,950.0,5.0,180.0,5,18947.36842105263
Whitefield,2 BHK,1285.0,2.0,111.8,2,8700.389105058366
1Hanuman Nagar,19 BHK,2000.0,16.0,980.0,19,49000.0
Sarjapur,3 Bedroom,1200.0,3.0,156.0,3,13000.0
Raghuvanahalli,2 BHK,1070.0,2.0,70.0,2,6542.056074766355
Hegde Nagar,3 BHK,1801.0,3.0,280.0,3,15546.918378678512
Whitefield,3 BHK,1697.0,3.0,230.0,3,13553.329404832057
AECS Layout,2 BHK,1199.0,2.0,130.0,2,10842.368640533778
Iblur Village,3 BHK,2300.0,3.0,440.0,3,19130.434782608696
Mysore Road,3 BHK,1340.0,2.0,128.62,3,9598.507462686568
Marathahalli,4 BHK,3800.0,4.0,410.0,4,10789.473684210527
Jigani,5 Bedroom,600.0,5.0,100.0,5,16666.666666666668
Wilson Garden,2 BHK,1125.0,2.0,150.0,2,13333.333333333334
Anandapura,2 Bedroom,1200.0,2.0,134.0,2,11166.666666666666
Subramanyapura,2 BHK,1050.0,2.0,82.0,2,7809.523809523809
Nagarbhavi,2 BHK,956.0,2.0,98.0,2,10251.046025104602
Sarjapur,2 BHK,1000.0,2.0,60.0,2,6000.0
Dooravani Nagar,3 BHK,1596.0,3.0,190.0,3,11904.761904761905
Kumbhena Agrahara,6 Bedroom,1200.0,5.0,300.0,6,25000.0
Kanakpura Road,2 BHK,1296.0,2.0,178.12,2,13743.827160493827
NS Palya,6 Bedroom,1200.0,7.0,340.0,6,28333.333333333332
Challaghatta,3 BHK,1639.0,3.0,246.0,3,15009.1519219036
Electronic City Phase II,2 BHK,1219.0,2.0,122.5,2,10049.220672682526
Uttarahalli,3 BHK,1200.0,3.0,100.0,3,8333.333333333334
Bannerghatta Road,2 BHK,1218.0,2.0,146.0,2,11986.863711001643
Nyanappana Halli,2 BHK,920.0,2.0,74.0,2,8043.478260869565
Yeshwanthpur,3 BHK,2559.0,3.0,282.0,3,11019.929660023447
2nd Phase Judicial Layout,1 BHK,525.0,1.0,52.0,1,9904.761904761905
Bannerghatta Road,3 BHK,1427.0,2.0,97.02,3,6798.878766643307
Kothannur,3 BHK,1270.0,3.0,90.0,3,7086.614173228347
Ramagondanahalli,2 BHK,920.0,2.0,130.0,2,14130.434782608696
Dommasandra,4 Bedroom,2700.0,3.0,136.0,4,5037.037037037037
Indira Nagar 3rd Stage,3 BHK,1740.0,3.0,398.0,3,22873.563218390806
Ramamurthy Nagar,3 BHK,1355.0,2.0,80.0,3,5904.059040590406
Lingadheeranahalli,3 BHK,1530.0,2.0,180.0,3,11764.70588235294
Gokula Extension,3 BHK,1372.0,2.0,180.0,3,13119.533527696793
Nehru Nagar,4 BHK,2363.0,5.0,240.0,4,10156.580617858654
Marathahalli,4 BHK,3895.0,4.0,440.0,4,11296.534017971759
Jakkur,3 BHK,1950.0,3.0,262.0,3,13435.897435897436
Hoysalanagar,2 BHK,885.0,2.0,80.0,2,9039.54802259887
Yelahanka,2 BHK,600.0,2.0,54.0,2,9000.0
Kumaraswami Layout,5 Bedroom,1270.0,4.0,256.0,5,20157.48031496063
Vijayanagar,2 Bedroom,1380.0,2.0,450.0,2,32608.695652173912
Kanakpura Road,2 BHK,1339.0,2.0,124.0,2,9260.642270351009
Whitefield,2 BHK,1130.0,2.0,72.0,2,6371.6814159292035
Uttarahalli,2 BHK,1085.0,2.0,86.0,2,7926.267281105991
Yeshwanthpur,3 BHK,1430.0,3.0,144.0,3,10069.93006993007
Bhoganhalli,4 BHK,1451.5,4.0,242.0,4,16672.407853944194
Ramakrishnappa Layout,5 BHK,6200.0,5.0,1440.0,5,23225.8064516129
AGS Layout,3 BHK,1490.0,2.0,119.2,3,8000.0
Vishwanatha Nagenahalli,4 BHK,1650.0,4.0,198.0,4,12000.0
Bellandur,2 BHK,1286.0,2.0,114.0,2,8864.696734059098
KR Garden,2 BHK,925.0,2.0,126.0,2,13621.621621621622
Bellandur,4 BHK,3016.0,4.0,460.0,4,15251.989389920425
Haralur Road,2 BHK,1000.0,2.0,88.0,2,8800.0
Whitefield,2 BHK,1215.0,2.0,78.0,2,6419.753086419753
Kanakadasa Layout,4 Bedroom,1200.0,3.0,190.0,4,15833.333333333334
Lakshminarayana Pura,2 BHK,1336.0,2.0,200.0,2,14970.059880239522
Yeshwanthpur,1 BHK,673.0,1.0,73.7,1,10950.965824665676
Anandapura,2 Bedroom,1200.0,2.0,116.0,2,9666.666666666666
Lingarajapuram,6 Bedroom,600.0,7.0,126.0,6,21000.0
